Edge type	Query	Target Species	SC	Scores for target Species to SC	Connected SC	Connection score	Scores for SC to target Species
textmining	205437	1496	YEL069C	388	YDR409W	131	166
textmining	205437	3004	YEL069C	388	YBR133C	43	299
textmining	205437	161167	YEL069C	388	YML060W	92	176
textmining	205437	5651	YEL069C	388	YHR104W	144	346
textmining	205437	76630	YEL069C	388	YHR104W	144	346
textmining	205437	31858	YEL069C	388	YNL273W	197	294
textmining	205437	87872	YEL069C	388	YGR288W	445	154
textmining	205437	106743	YEL069C	388	YMR284W	117	93
textmining	205437	68956	YEL069C	388	YML032C	338	216
textmining	205437	71351	YEL069C	388	YMR096W	111	355
textmining	205437	893	YEL069C	388	YMR216C	53	519
textmining	205437	72383	YEL069C	388	YBR010W	81	262
textmining	205437	3313	YEL069C	388	YGL253W	142	606
textmining	205437	3740	YEL069C	388	YJR159W	532	349
textmining	205437	72797	YEL069C	388	YJR159W	532	349
textmining	205437	6386	YEL069C	388	YHR164C	80	578
textmining	205437	201837	YEL069C	388	YDR536W	73	361
textmining	205437	114515	YEL069C	388	YDR536W	73	361
textmining	205437	3320	YEL069C	388	YDR148C	133	476
textmining	205437	32493	YEL069C	388	YGR224W	194	199
textmining	205437	299000	YEL069C	388	YEL021W	684	322
textmining	205437	113106	YEL069C	388	YPR068C	90	225
textmining	205437	1150	YEL069C	388	YHR154W	133	177
textmining	205437	2970	YEL069C	388	YOR025W	80	283
textmining	205437	50620	YEL069C	388	YBL019W	44	185
textmining	205437	489	YEL069C	388	YLR032W	93	570
textmining	205437	52540	YEL069C	388	YKL216W	75	59
textmining	205437	56348	YEL069C	388	YOR384W	276	239
textmining	205437	1844	YEL069C	388	YOR384W	276	239
textmining	205437	67392	YEL069C	388	YFL039C	81	745
textmining	205437	180865	YEL069C	388	YAR007C	161	392
textmining	205437	302381	YEL069C	388	YBR088C	112	260
textmining	205437	6746	YEL069C	388	YGR194C	310	417
textmining	205437	72592	YEL069C	388	YBR136W	151	594
textmining	205437	29458	YEL069C	388	YER070W	41	1270
textmining	205437	4883	YEL069C	388	YOR128C	297	707
textmining	205437	102591	YEL069C	388	YNR002C	297	244
textmining	205437	74905	YEL069C	388	YBR153W	74	143
textmining	205437	68310	YEL069C	388	YGL115W	113	377
textmining	205437	75322	YEL069C	388	YCR012W	84	560
textmining	205437	193402	YEL069C	388	YJL005W	42	898
textmining	205437	24997	YEL069C	388	YDR180W	352	233
textmining	205437	3625	YEL069C	388	YGR289C	351	429
textmining	205437	154956	YEL069C	388	YGR289C	351	429
textmining	205437	89060	YEL069C	388	YGR289C	351	429
textmining	205437	76198	YEL069C	388	YGR289C	351	429
textmining	205437	31096	YEL069C	388	YGR289C	351	429
textmining	205437	82322	YEL069C	388	YGR289C	351	429
textmining	205437	73112	YEL069C	388	YGR289C	351	429
textmining	205437	3128	YEL069C	388	YBR117C	192	909
textmining	205437	3262	YEL069C	388	YGR292W	378	529
textmining	205437	71147	YEL069C	388	YGR292W	378	529
textmining	205437	71673	YEL069C	388	YGR292W	378	529
textmining	205437	205534	YEL069C	388	YGR292W	378	529
textmining	205437	198242	YEL069C	388	YGR292W	378	529
textmining	205437	48101	YEL069C	388	YER052C	771	566
textmining	205437	6465	YEL069C	388	YBR244W	90	242
textmining	205437	72834	YEL069C	388	YNL334C	80	143
textmining	205437	1371	YEL069C	388	YJL217W	160	47
textmining	205437	2889	YEL069C	388	YDR408C	807	177
textmining	205437	110167	YEL069C	388	YLR058C	96	735
textmining	205437	282	YEL069C	388	YGL157W	229	229
textmining	205437	52874	YEL069C	388	YJL141C	132	531
textmining	205437	73771	YEL069C	388	YJL141C	132	531
textmining	205437	6366	YEL069C	388	YER095W	190	495
textmining	205437	71617	YEL069C	388	YMR106C	123	76
textmining	205437	142956	YEL069C	388	YIL162W	228	319
textmining	205437	5691	YEL069C	388	YIR002C	230	421
textmining	205437	235588	YEL069C	388	YMR280C	450	200
textmining	205437	71543	YEL069C	388	YGL077C	131	233
textmining	205437	110315	YEL069C	388	YFL033C	71	613
textmining	205437	72383	YEL069C	388	YNL031C	81	262
textmining	205437	71653	YEL069C	388	YLR234W	220	505
textmining	205437	336196	YEL069C	388	YDL042C	95	308
textmining	205437	1667	YEL069C	388	YKL113C	172	382
textmining	205437	89420	YEL069C	388	YCL040W	131	345
textmining	205437	27120	YEL069C	388	YCL073C	216	172
textmining	205437	110210	YEL069C	388	YBR248C	195	651
textmining	205437	3262	YEL069C	388	YBR299W	392	529
textmining	205437	71147	YEL069C	388	YBR299W	392	529
textmining	205437	71673	YEL069C	388	YBR299W	392	529
textmining	205437	205534	YEL069C	388	YBR299W	392	529
textmining	205437	198242	YEL069C	388	YBR299W	392	529
textmining	205437	66141	YEL069C	388	YKR093W	195	452
textmining	205437	60763	YEL069C	388	YCR084C	95	400
textmining	205437	67507	YEL069C	388	YHR186C	109	1203
textmining	205437	101999	YEL069C	388	YBL064C	80	279
textmining	205437	4575	YEL069C	388	YBL064C	80	279
textmining	205437	63905	YEL069C	388	YDR038C	130	858
textmining	205437	3342	YEL069C	388	YBR061C	68	342
textmining	205437	2195	YEL069C	388	YJR109C	166	1622
textmining	205437	99817	YEL069C	388	YDL236W	90	252
textmining	205437	48617	YEL069C	388	YOR202W	227	297
textmining	205437	44589	YEL069C	388	YBR073W	111	521
textmining	205437	205437	YEL069C	388	YNR072W	970	388
textmining	205437	74862	YEL069C	388	YML028W	193	212
textmining	205437	106361	YEL069C	388	YDL138W	610	457
textmining	205437	4204	YEL069C	388	YDL138W	610	457
textmining	205437	7313	YEL069C	388	YDL138W	610	457
textmining	205437	73058	YEL069C	388	YDL138W	610	457
textmining	205437	70763	YEL069C	388	YBL003C	70	170
textmining	205437	1718	YEL069C	388	YKL033W	59	227
textmining	205437	103025	YEL069C	388	YKL033W	59	182
textmining	205437	94083	YEL069C	388	YGL103W	232	232
textmining	205437	3740	YEL069C	388	YDL246C	396	349
textmining	205437	72797	YEL069C	388	YDL246C	396	349
textmining	205437	75137	YEL069C	388	YDR419W	95	223
textmining	205437	72658	YEL069C	388	YOL005C	73	146
textmining	205437	72834	YEL069C	388	YFL060C	96	143
textmining	205437	72905	YEL069C	388	YIL021W	54	338
textmining	205437	72834	YEL069C	388	YMR095C	189	143
textmining	205437	872	YEL069C	388	YBR065C	227	99
textmining	205437	180753	YEL069C	388	YPL135W	41	204
textmining	205437	6978	YEL069C	388	YBL088C	58	552
textmining	205437	54681	YEL069C	388	YLR411W	110	90
textmining	205437	68497	YEL069C	388	YGL058W	144	233
textmining	205437	73373	YEL069C	388	YGR188C	52	383
textmining	205437	100843	YEL069C	388	YOR141C	357	416
textmining	205437	54569	YEL069C	388	YOR348C	113	304
textmining	205437	3262	YEL069C	388	YJL216C	445	529
textmining	205437	71147	YEL069C	388	YJL216C	445	529
textmining	205437	71673	YEL069C	388	YJL216C	445	529
textmining	205437	205534	YEL069C	388	YJL216C	445	529
textmining	205437	198242	YEL069C	388	YJL216C	445	529
textmining	205437	1896	YEL069C	388	YLR354C	96	404
textmining	205437	73886	YEL069C	388	YLR247C	108	341
textmining	205437	247165	YEL069C	388	YKL217W	230	345
textmining	205437	103302	YEL069C	388	YKL217W	230	345
textmining	205437	1926	YEL069C	388	YML054C	43	520
textmining	205437	291737	YEL069C	388	YML054C	43	520
textmining	205437	67195	YEL069C	388	YHR043C	223	101
textmining	205437	76712	YEL069C	388	YOL146W	109	87
textmining	205437	76551	YEL069C	388	YDR477W	119	681
textmining	205437	64448	YEL069C	388	YOL152W	332	196
textmining	205437	70764	YEL069C	388	YBL002W	90	142
textmining	205437	3128	YEL069C	388	YPR074C	83	909
textmining	205437	74299	YEL069C	388	YHR205W	94	709
textmining	205437	75166	YEL069C	388	YER172C	43	1766
textmining	205437	50110	YEL069C	388	YGL104C	68	258
textmining	205437	321612	YEL069C	388	YER036C	276	950
textmining	205437	3262	YEL069C	388	YJL221C	570	529
textmining	205437	71147	YEL069C	388	YJL221C	570	529
textmining	205437	71673	YEL069C	388	YJL221C	570	529
textmining	205437	205534	YEL069C	388	YJL221C	570	529
textmining	205437	198242	YEL069C	388	YJL221C	570	529
textmining	205437	3740	YEL069C	388	YLR070C	220	349
textmining	205437	72797	YEL069C	388	YLR070C	220	349
textmining	205437	176983	YEL069C	388	YOR275C	273	247
textmining	205437	310	YEL069C	388	YEL032W	81	759
textmining	205437	3262	YEL069C	388	YGR287C	310	529
textmining	205437	71147	YEL069C	388	YGR287C	310	529
textmining	205437	71673	YEL069C	388	YGR287C	310	529
textmining	205437	205534	YEL069C	388	YGR287C	310	529
